price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,state
1825,apartment,988,1,1.5,1,1,0,1,0,0,w/d in unit,attached garage,tn
1005,apartment,740,1,1,1,1,1,0,0,0,laundry on site,carport,tx
1600,apartment,538,0,1,1,1,1,0,0,0,w/d in unit,attached garage,fl
1159,apartment,1488,3,3,1,1,1,0,0,0,w/d in unit,off-street parking,nc
2500,apartment,860,2,2,0,0,0,1,0,0,w/d in unit,attached garage,fl
2837,apartment,839,1,1,1,1,1,0,0,0,w/d in unit,attached garage,dc
1950,apartment,600,2,1,0,0,1,0,0,0,no laundry on site,off-street parking,ny
1299,apartment,1118,2,2,1,1,0,0,0,0,w/d in unit,attached garage,ne
2850,apartment,600,1,1,0,0,1,1,0,0,laundry on site,street parking,ny
720,apartment,570,1,1,0,0,0,0,0,0,laundry in bldg,carport,tx
2300,apartment,1067,2,1,0,0,1,0,0,0,w/d in unit,street parking,ma
739,apartment,815,2,1,1,1,1,0,0,0,laundry on site,off-street parking,oh
895,apartment,610,1,1,0,1,0,0,0,0,laundry on site,off-street parking,or
1470,apartment,1350,3,1,1,1,0,0,0,0,w/d in unit,off-street parking,il
1000,apartment,950,2,1,1,0,0,0,0,0,laundry on site,off-street parking,nc
1895,apartment,634,1,1,1,0,0,0,0,0,laundry in bldg,carport,ca
925,apartment,600,2,1,0,0,0,0,0,0,w/d in unit,off-street parking,ct
525,apartment,750,2,1,1,1,0,0,0,0,w/d hookups,off-street parking,oh
920,apartment,575,0,1,1,0,0,0,0,0,w/d in unit,off-street parking,or
1035,apartment,1327,3,1.5,1,1,0,0,0,0,w/d in unit,street parking,ok
1825,apartment,1205,3,2,1,1,1,0,0,0,w/d in unit,off-street parking,dc
1301,apartment,960,2,2,1,1,0,0,0,0,w/d in unit,off-street parking,or
830,apartment,649,1,1,0,0,0,0,0,0,laundry in bldg,off-street parking,wi
650,apartment,1050,2,2,1,1,1,0,0,1,laundry on site,off-street parking,la
2061,apartment,780,1,1,1,1,0,1,0,0,w/d in unit,detached garage,nj
575,apartment,728,2,1,0,0,0,0,0,0,no laundry on site,street parking,va
1595,apartment,1077,0,2,1,1,0,1,0,0,w/d in unit,detached garage,nc
1675,apartment,1111,2,2,1,1,0,0,0,0,w/d in unit,off-street parking,va
695,apartment,968,2,1,0,0,0,0,0,0,w/d hookups,carport,il
800,apartment,900,2,1,0,0,0,0,0,0,laundry on site,street parking,il
1443,apartment,871,1,1,1,1,0,1,1,0,w/d in unit,detached garage,co
896,apartment,710,1,1,1,1,0,1,0,0,laundry in bldg,off-street parking,ma
1125,apartment,952,2,1,1,1,0,0,0,0,laundry in bldg,off-street parking,id
995,apartment,776,1,1,1,1,0,0,0,0,w/d in unit,off-street parking,nc
800,apartment,678,1,1,1,0,0,0,0,0,w/d in unit,carport,id
2495,apartment,1181,2,2,0,0,0,0,0,0,w/d in unit,detached garage,ca
